https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1692835200000,2023-08-24,IOTAUSDT,0.1466,0.1475,0.1432,0.1456,2882534.0,419616.8579,3251
1692748800000,2023-08-23,IOTAUSDT,0.1432,0.1482,0.1425,0.1465,3282472.0,476105.294,4139
1692662400000,2023-08-22,IOTAUSDT,0.1435,0.144,0.138,0.1433,5228835.0,742324.0723,5077
1692576000000,2023-08-21,IOTAUSDT,0.1471,0.1521,0.1409,0.1434,14198480.0,2087750.5213,11650
1692489600000,2023-08-20,IOTAUSDT,0.1465,0.1475,0.1446,0.147,3011204.0,440209.6583,2277
1692403200000,2023-08-19,IOTAUSDT,0.1453,0.1477,0.1439,0.1464,3897960.0,567592.7908,2758
1692316800000,2023-08-18,IOTAUSDT,0.1438,0.1471,0.1419,0.1454,9719746.0,1406675.6992,9861
1692230400000,2023-08-17,IOTAUSDT,0.1559,0.1579,0.1318,0.1439,11403040.37,1668479.78825,13504
1692144000000,2023-08-16,IOTAUSDT,0.1619,0.1649,0.1521,0.1558,5626061.0,894076.5468,5263
1692057600000,2023-08-15,IOTAUSDT,0.1685,0.1687,0.1542,0.1619,8385627.0,1369062.3104,7208
1691971200000,2023-08-14,IOTAUSDT,0.1684,0.1705,0.1663,0.1685,3416263.0,576914.6658,4001
1691884800000,2023-08-13,IOTAUSDT,0.1715,0.1717,0.1675,0.1685,4110833.0,699380.4837,3177
1691798400000,2023-08-12,IOTAUSDT,0.1713,0.1718,0.1705,0.1715,1354911.0,232012.3634,1435
1691712000000,2023-08-11,IOTAUSDT,0.1716,0.1729,0.1701,0.1713,2388929.0,409442.077,2093
1691625600000,2023-08-10,IOTAUSDT,0.1741,0.1746,0.1712,0.1714,2106466.0,363119.4255,2183
1691539200000,2023-08-09,IOTAUSDT,0.1737,0.1756,0.1723,0.174,3136448.0,546269.4474,2518
1691452800000,2023-08-08,IOTAUSDT,0.171,0.1769,0.1688,0.1736,5678847.0,983262.5657,4462
1691366400000,2023-08-07,IOTAUSDT,0.1693,0.1733,0.165,0.1709,6496762.0,1105742.9011,5441
1691280000000,2023-08-06,IOTAUSDT,0.1704,0.1718,0.1681,0.1691,3011566.0,511347.0242,3140
1691193600000,2023-08-05,IOTAUSDT,0.1698,0.1704,0.1675,0.1704,3021181.0,511344.3496,2594
1691107200000,2023-08-04,IOTAUSDT,0.1698,0.1719,0.1675,0.1696,2952079.0,500362.183,3093
1691020800000,2023-08-03,IOTAUSDT,0.1738,0.1746,0.169,0.1698,3405624.0,584339.672,3879
